Date,XLF,XLK,XLI,HY,XLY,XLU,XLP,SPY,VBMFX,Target_FR12Mts
12/1/1998,19.039398,32.625,24.5625,6.44,26.125,30.234375,27.15625,123.3125,10.27,0.19
1/1/1999,19.369415,37.8125,24.296875,6.52,27.46875,29.484375,26.796875,127.65625,10.3,0.09
2/1/1999,19.674046,34.0625,24.515625,6.46,27.296875,28.671875,26.515625,123.5625,10.07,0.11
3/1/1999,20.257921,36.59375,24.9375,6.57,28.59375,26.6875,26.4375,128.375,10.06,0.17
4/1/1999,21.679529,36.8125,28.6875,6.8,29.34375,29.265625,25.515625,133.25,10.05,0.09
5/1/1999,20.372156,36.9375,28.125,6.57,28.015625,29.609375,25.25,130.203125,9.91,0.1
6/1/1999,21.197197,40.484375,29.8125,6.56,29.78125,30.640625,25.59375,137,9.81,0.06
7/1/1999,19.902519,40.015625,28.71875,6.51,27.5625,30.734375,24.640625,132.75,9.72,0.08
8/1/1999,19.026707,41.421875,28.953125,6.43,26.5,29.265625,25.0625,132.0625,9.66,0.15
9/1/1999,17.973192,41.25,28.75,6.33,26.078125,29.78125,22.75,128.75,9.73,0.12
10/1/1999,20.765638,42.5,28.125,6.24,28.390625,29.9375,24.828125,137,9.71,0.04
11/1/1999,19.851746,46.671875,27.5,6.3,28.40625,28.953125,24.90625,139.28125,9.66,-0.05
12/1/1999,19.30595,53.875,29.609375,6.31,31.0625,28.140625,23.03125,146.875,9.56,-0.11
1/1/2000,18.734768,50.5625,27.1875,6.27,27.203125,27.640625,23.234375,139.5625,9.49,-0.02
2/1/2000,16.729284,55.875,25.6875,6.21,25.6875,24.28125,20.515625,137.4375,9.55,-0.1
3/1/2000,19.712124,60.5625,29.203125,6.16,29.265625,26.734375,21.21875,150.375,9.63,-0.22
4/1/2000,19.902519,55,29.625,6.04,28.65625,28.484375,22.34375,145.09375,9.53,-0.13
5/1/2000,20.346771,49.28125,29.5,5.87,27.109375,28.421875,23.9375,142.8125,9.46,-0.12
6/1/2000,19.293257,54.1875,28.28125,5.87,25.59375,27.25,25.234375,145.28125,9.61,-0.16
7/1/2000,20.99411,51.3125,28.71875,5.83,26,27.671875,24.3125,143,9.64,-0.15
8/1/2000,23.126524,56.53125,31.5625,5.87,24.921875,28.75,24.015625,152.34375,9.72,-0.25
9/1/2000,23.558083,46.375,30.5625,5.65,24.890625,32.28125,24.984375,143.625,9.74,-0.27
10/1/2000,23.354996,43.71875,31.25,5.43,24.578125,34.15625,26.71875,142.953125,9.74,-0.26
11/1/2000,22.16186,34.75,30.1875,5.13,23.96875,34.140625,27.640625,132.28125,9.84,-0.14
12/1/2000,23.964256,31.3125,31.25,5.18,25.59375,33.1875,28.5625,131.1875,9.96,-0.13
1/1/2001,23.907393,37.299999,31.370001,5.34,28.57,31.32,26.48,137.020004,10.08,-0.17
2/1/2001,22.298944,28.01,29.49,5.23,26.530001,31.969999,26.639999,123.949997,10.12,-0.1
3/1/2001,21.559708,24.799999,26.59,5.09,26.09,31.290001,24.719999,116.690002,10.12,-0.02
4/1/2001,22.339561,28.809999,29.629999,5.05,27.299999,32.799999,25.200001,126.660004,10.02,-0.15
5/1/2001,23.322502,27.629999,30.870001,5.11,27.950001,33.029999,25.57,125.949997,10.04,-0.15
6/1/2001,23.070675,28.17,28.9,4.95,27.67,31.15,24.309999,122.599998,10.04,-0.19
7/1/2001,22.851341,26.219999,28.84,4.84,28.9,30.870001,25.049999,121.349998,10.21,-0.25
8/1/2001,21.340374,23.02,27.85,4.83,26.370001,29.77,25.17,114.150002,10.27,-0.2
9/1/2001,20.04874,19.25,23.67,4.44,22.969999,29.26,25.059999,104.440002,10.31,-0.22
10/1/2001,19.76442,21.35,24.09,4.46,24.18,27.719999,24.9,105.800003,10.45,-0.16
11/1/2001,21.047928,24.540001,26.5,4.61,27.4,27.370001,26,114.050003,10.26,-0.18
12/1/2001,21.364744,24,27.700001,4.64,28.6,28.030001,25.4,114.300003,10.14,-0.23
1/1/2002,21.12104,23.74,25.950001,4.69,29.540001,27.02,25.23,113.18,10.17,-0.24
2/1/2002,20.755484,20.65,26.6,4.65,29.700001,26.969999,25.76,111.150002,10.21,-0.24
3/1/2002,22.055239,21.67,27.24,4.74,30.040001,28.18,26.1,114.519997,10,-0.26
4/1/2002,21.49472,19.049999,25.360001,4.78,29.200001,26.469999,25.129999,107.860001,10.12,-0.15
5/1/2002,21.429731,18.26,25.469999,4.72,29.049999,26.25,24.85,107.220001,10.15,-0.1
6/1/2002,20.422421,15.82,23.85,4.48,27.469999,24.25,22.25,98.959999,10.13,-0.01
7/1/2002,18.724613,14.32,22.5,4.25,24.190001,20.68,21.299999,91.160004,10.13,0.09
8/1/2002,19.073923,14.2,22.15,4.14,24.92,21.5,21.469999,91.779999,10.25,0.11
9/1/2002,16.791227,11.83,19.52,4.04,22.67,18.67,19.790001,81.790001,10.36,0.22
10/1/2002,18.326563,14.76,20.48,3.97,24.200001,18.24,20.559999,88.519997,10.25,0.19
11/1/2002,19.008936,17.1,21.549999,4.1,25.32,18.77,19.99,93.980003,10.19,0.13
12/1/2002,17.871649,14.8,20.59,4.15,23.110001,19.15,19.940001,88.230003,10.38,0.26
1/1/2003,17.644192,14.45,19.48,4.23,22.34,18.700001,19.26,86.059998,10.34,0.32
2/1/2003,17.099918,14.52,19.18,4.27,22.24,17.700001,18.67,84.900002,10.44,0.35
3/1/2003,16.864338,14.3,19.309999,4.34,22.73,18.4,18.57,84.739998,10.38,0.33
4/1/2003,18.984566,15.61,21.4,4.58,25.389999,19.99,19.120001,91.910004,10.43,0.21
5/1/2003,19.95126,16.950001,21.98,4.68,26.74,22.01,20.059999,96.949997,10.58,0.16
6/1/2003,19.943136,17.07,22.389999,4.84,27.09,22.120001,20.16,97.629997,10.52,0.17
7/1/2003,20.812347,17.6,23.129999,4.87,27.59,20.639999,20.129999,99.389999,10.13,0.12
8/1/2003,20.568644,18.440001,24.030001,4.91,29,21.049999,20.469999,101.440002,10.17,0.1
9/1/2003,20.641754,18.280001,23.290001,4.99,27.58,21.9,20.32,99.949997,10.41,0.12
10/1/2003,22.071487,19.620001,24.73,5.1,30.09,22.049999,21.24,105.300003,10.27,0.08
11/1/2003,21.990252,19.9,25.219999,5.18,30.360001,22.1,21.49,106.449997,10.26,0.11
12/1/2003,22.851341,20.379999,26.76,5.3,31.49,23.33,21.780001,111.279999,10.31,0.09
1/1/2004,23.5987,21.25,27.030001,5.45,31.309999,23.809999,21.780001,113.480003,10.36,0.04
2/1/2004,24.272949,20.709999,26.83,5.38,31.99,24.26,23.02,115.019997,10.43,0.05
3/1/2004,23.883022,20.16,26.41,5.37,31.75,24.32,22.879999,113.099998,10.46,0.04
4/1/2004,22.843218,19.389999,26.4,5.2,31.389999,23.280001,23.18,110.959999,10.15,0.04
5/1/2004,23.233143,20.15,27.049999,5.05,31.59,23.559999,23.049999,112.860001,10.07,0.06
6/1/2004,23.216896,20.700001,28.66,5.08,31.629999,23.76,23.09,114.529999,10.09,0.04
7/1/2004,22.721365,19.440001,27.860001,4.99,30.43,24.120001,21.950001,110.839996,10.15,0.12
8/1/2004,23.460602,18.58,27.879999,5.02,30.370001,25.1,22.34,111.110001,10.31,0.1
9/1/2004,23.119415,19.120001,28.379999,5.06,31.200001,25.049999,21.66,111.760002,10.29,0.1
10/1/2004,23.241268,19.959999,28.67,5.09,32.459999,26.27,21.799999,113.199997,10.34,0.06
11/1/2004,23.964256,20.98,30.469999,5.2,33.82,27.440001,22.34,117.889999,10.22,0.06
12/1/2004,24.800974,21.110001,31.07,5.33,35.290001,27.85,23.08,120.870003,10.27,0.03
1/1/2005,24.264826,19.92,30.200001,5.24,33.779999,28.440001,23.35,118.160004,10.3,0.08
2/1/2005,24.102356,19.950001,30.549999,5.28,33.599998,29.049999,23.32,120.629997,10.2,0.06
3/1/2005,23.062551,19.559999,30.43,5.13,33.16,29.15,23.02,117.959999,10.11,0.1
4/1/2005,23.103168,18.870001,29.32,5,31.049999,30.049999,22.780001,115.75,10.21,0.14
5/1/2005,23.78554,20.18,30.25,5.05,32.970001,30.030001,23.309999,119.480003,10.28,0.07
6/1/2005,23.939886,19.92,29.379999,5.04,32.779999,31.559999,22.75,119.18,10.3,0.07
7/1/2005,24.313566,21.049999,30.5,5.18,34.639999,32.27,23.48,123.739998,10.16,0.03
8/1/2005,23.915516,20.85,29.780001,5.13,33.5,32.48,23.07,122.580002,10.26,0.07
