,Date,XLF,XLK,XLI,HY,XLY,XLU,XLP,SPY,VBMFX,FR3Mts,FR6Mts,FR12Mts,R3,R6,R12,SPY2M,SPY3M,SPY4M,SPY5M,SPY6M,SPY7M,SPY8M,SPY9M,SPY10M,SPY11M,SPY12M,XLF2M,XLF3M,XLF4M,XLF5M,XLF6M,XLF7M,XLF8M,XLF9M,XLF10M,XLF11M,XLF12M,XLP2M,XLP3M,XLP4M,XLP5M,XLP6M,XLP7M,XLP8M,XLP9M,XLP10M,XLP11M,XLP12M,XLU2M,XLU3M,XLU4M,XLU5M,XLU6M,XLU7M,XLU8M,XLU9M,XLU10M,XLU11M,XLU12M,XLK2M,XLK3M,XLK4M,XLK5M,XLK6M,XLK7M,XLK8M,XLK9M,XLK10M,XLK11M,XLK12M,XLI2M,XLI3M,XLI4M,XLI5M,XLI6M,XLI7M,XLI8M,XLI9M,XLI10M,XLI11M,XLI12M,XLY2M,XLY3M,XLY4M,XLY5M,XLY6M,XLY7M,XLY8M,XLY9M,XLY10M,XLY11M,XLY12M,HY2M,HY3M,HY4M,HY5M,HY6M,HY7M,HY8M,HY9M,HY10M,HY11M,HY12M,VBMFX2M,VBMFX3M,VBMFX4M,VBMFX5M,VBMFX6M,VBMFX7M,VBMFX8M,VBMFX9M,VBMFX10M,VBMFX11M,VBMFX12M,cluster
0,12/1/1998,19.039398000000002,32.625,24.5625,6.44,26.125,30.234375,27.15625,123.3125,10.27,0.04,0.11,0.19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/1/1999,19.369415,37.8125,24.296875,6.52,27.46875,29.484375,26.796875,127.65625,10.3,0.04,0.04,0.09,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2/1/1999,19.674046,34.0625,24.515625,6.46,27.296875,28.671875,26.515625,123.5625,10.07,0.05,0.07,0.11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/1/1999,20.257921,36.59375,24.9375,6.57,28.59375,26.6875,26.4375,128.375,10.06,0.07,0.0,0.17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4/1/1999,21.679529000000002,36.8125,28.6875,6.8,29.34375,29.265625,25.515625,133.25,10.05,0.0,0.03,0.09,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5/1/1999,20.372156,36.9375,28.125,6.57,28.015625,29.609375,25.25,130.203125,9.91,0.01,0.07,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6/1/1999,21.197197,40.484375,29.8125,6.56,29.78125,30.640625,25.59375,137.0,9.81,-0.06,0.07,0.06,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7/1/1999,19.902519,40.015625,28.71875,6.51,27.5625,30.734375,24.640625,132.75,9.72,0.03,0.05,0.08,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8/1/1999,19.026707000000002,41.421875,28.953125,6.43,26.5,29.265625,25.0625,132.0625,9.66,0.05,0.04,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9/1/1999,17.973192,41.25,28.75,6.33,26.078125,29.78125,22.75,128.75,9.73,0.14,0.17,0.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
